27.05.2019 11:15:28:267;Ax=4,87930081173745;Ay=4,9933473567913;Az=0,0532727675993332;rx=87,3981784372116;ry=87,408040272262;rz=88,0925834817312;Vx=4,87930081173745;Vy=4,9933473567913;Vz=0,0532727675993332;cx=-0,203063942062698;cy=-0,0064398485847903;latitude=39,9226435651858;longitude=131,368466416541;
27.05.2019 11:15:29:512;Ax=4,7460026427852;Ay=4,82703397973768;Az=-0,0970329760327155;rx=87,2225570174505;ry=89,3215495267983;rz=86,2550321779004;Vx=56,720436911667;Vy=57,4873508312681;Vz=-0,333218842899994;cx=-0,112305737187761;cy=-0,220075373617036;latitude=39,9259058298646;longitude=131,365161684604;
27.05.2019 11:15:29:616;Ax=4,7975835249748;Ay=4,87882193311994;Az=-0,000741795753474328;rx=86,524610815814;ry=87,201611165284;rz=88,7831079712059;Vx=61,5180204366418;Vy=62,366172764388;Vz=-0,333960638653468;cx=-0,209238429336921;cy=-0,182127202806122;latitude=39,9264550979042;longitude=131,364604843775;
27.05.2019 11:15:29:733;Ax=4,63981199247754;Ay=4,63135912857547;Az=-0,194267153713977;rx=87,9883736788707;ry=85,5919327999428;rz=89,2172690414438;Vx=66,1578324291193;Vy=66,9975318929635;Vz=-0,528227792367445;cx=-0,163828019129028;cy=-0,0792639386510814;latitude=39,9270457928366;longitude=131,364006651526;
27.05.2019 11:15:29:837;Ax=4,69974295408453;Ay=4,64286677429586;Az=-0,08643139076253;rx=89,9877905594128;ry=88,0296874384068;rz=89,1185444817499;Vx=70,8575753832038;Vy=71,6403986672593;Vz=-0,614659183129975;cx=-0,0962214697484072;cy=-0,0949533617682548;latitude=39,9276784497597;longitude=131,36336700511;
27.05.2019 11:15:29:951;Ax=4,74444343812971;Ay=4,88116174744496;Az=-0,0168239654818665;rx=86,3625341178209;ry=87,7750760087627;rz=87,692489384996;Vx=75,6020188213335;Vy=76,5215604147043;Vz=-0,631483148611841;cx=-0,200175670767287;cy=-0,0949538887804167;latitude=39,9283534677849;longitude=131,362683776892;
27.05.2019 11:15:30:53;Ax=4,90044807102552;Ay=4,69768538172249;Az=-0,227126182977635;rx=86,9686032507888;ry=86,1007465615872;rz=86,5660228573559;Vx=80,5024668923591;Vy=81,2192457964268;Vz=-0,858609331589476;cx=-0,0395303808685981;cy=-0,118150230505577;latitude=39,9290722398107;longitude=131,361958605054;
27.05.2019 11:15:30:156;Ax=4,88073659705964;Ay=4,78804925912435;Az=0,114593797067457;rx=88,7670662301905;ry=89,4914119651035;rz=85,5375255374413;Vx=85,3832034894187;Vy=86,0072950555511;Vz=-0,74401553452202;cx=-0,0966814659753226;cy=-0,07516226281885;latitude=39,9298345898419;longitude=131,361190682777;
27.05.2019 11:15:30:284;Ax=4,69109624446886;Ay=4,82910910985857;Az=0,241652270076634;rx=88,0357485581356;ry=89,2829146947632;rz=87,7660946968319;Vx=90,0742997338876;Vy=90,8364041654097;Vz=-0,502363264445385;cx=-0,121559745537382;cy=-0,0470146378488394;latitude=39,9306388246609;longitude=131,360379643454;
27.05.2019 11:15:30:393;Ax=4,59264742144972;Ay=4,96026567484265;Az=0,119402208071855;rx=88,2711554382793;ry=86,6845236605427;rz=89,4526972954407;Vx=94,6669471553373;Vy=95,7966698402523;Vz=-0,382961056373531;cx=-0,0708810032442599;cy=-0,0467090726349113;latitude=39,9314840652605;longitude=131,359524316045;
27.05.2019 11:15:30:518;Ax=4,57619395250277;Ay=4,76674148802028;Az=0,126037893293443;rx=88,3127643644403;ry=89,0114046882425;rz=89,7548363666306;Vx=99,2431411078401;Vy=100,563411328273;Vz=-0,256923163080088;cx=-0,109301266730441;cy=-0,188416813529756;latitude=39,9323701647347;longitude=131,358626428444;
27.05.2019 11:15:30:627;Ax=4,73071206511497;Ay=4,92612467702763;Az=-0,132093201569325;rx=89,9372441062877;ry=85,8372003081428;rz=89,3085043748415;Vx=103,973853172955;Vy=105,4895360053;Vz=-0,389016364649413;cx=-0,0695239600234316;cy=-0,116876729713695;latitude=39,9332985027095;longitude=131,357684557586;
27.05.2019 11:15:30:737;Ax=4,59600944961235;Ay=4,90020328522669;Az=0,154740879733461;rx=89,3130940200356;ry=87,7676189543063;rz=87,9607380265187;Vx=108,569862622567;Vy=110,389739290527;Vz=-0,234275484915952;cx=-0,059099623518577;cy=-0,158103102880112;latitude=39,9342678764829;longitude=131,356698934914;
27.05.2019 11:15:30:862;Ax=4,96781814958333;Ay=4,62735079001978;Az=-0,179469282473191;rx=86,4583554880034;ry=87,7414029847092;rz=86,4382369443487;Vx=113,537680772151;Vy=115,017090080547;Vz=-0,413744767389143;cx=-0,177376413532706;cy=-0,0263033960951944;latitude=39,9352816057755;longitude=131,35567199661;
27.05.2019 11:15:30:971;Ax=4,94556259966714;Ay=4,96839173625614;Az=0,0368134064072807;rx=87,090738572921;ry=86,6531844978003;rz=89,7536063160531;Vx=118,483243371818;Vy=119,985481816803;Vz=-0,376931360981862;cx=-0,0257324972309831;cy=-0,126748508320539;latitude=39,936339491877;longitude=131,354600697665;
27.05.2019 11:15:31:96;Ax=4,57200081370399;Ay=4,91035630014276;Az=-0,198962225322129;rx=89,9477926015145;ry=86,7049335109559;rz=87,6315609829647;Vx=123,055244185522;Vy=124,895838116946;Vz=-0,575893586303991;cx=-0,0638746532559722;cy=-0,148733879089697;latitude=39,9374381994144;longitude=131,353485556253;
27.05.2019 11:15:31:207;Ax=4,6147633637836;Ay=4,62912827410229;Az=-0,0381032898035381;rx=87,5826940935025;ry=85,8100293778395;rz=89,2692859150792;Vx=127,670007549305;Vy=129,524966391048;Vz=-0,613996876107529;cx=-0,160090020350225;cy=-0,0887496226996873;latitude=39,9385781101961;longitude=131,352329083339;
27.05.2019 11:15:31:311;Ax=4,89807398472823;Ay=4,72737812191592;Az=0,0947112242433761;rx=87,8652475780646;ry=89,1200599088893;rz=86,8556191773878;Vx=132,568081534034;Vy=134,252344512964;Vz=-0,519285651864153;cx=-0,0754869627652184;cy=-0,168091417915697;latitude=39,9397617537812;longitude=131,351130401692;
27.05.2019 11:15:31:429;Ax=4,8202944848781;Ay=4,67635878975334;Az=-0,202535476746287;rx=86,1216746818375;ry=86,7271837171759;rz=87,0187822266104;Vx=137,388376018912;Vy=138,928703302717;Vz=-0,72182112861044;cx=-0,174535954603705;cy=-0,169476063477099;latitude=39,9409884357099;longitude=131,349889966841;
27.05.2019 11:15:31:538;Ax=4,95738661240665;Ay=4,68640423155688;Az=0,101676299633308;rx=88,5744122530215;ry=87,5013980544179;rz=88,870214928114;Vx=142,345762631318;Vy=143,615107534274;Vz=-0,620144828977132;cx=-0,218349778427907;cy=-0,121059881835741;latitude=39,9422593800191;longitude=131,348607689095;
27.05.2019 11:15:31:650;Ax=4,76929446392194;Ay=4,90105044883725;Az=0,241720579327885;rx=86,5792485177886;ry=89,0311665525805;rz=88,8697776358434;Vx=147,11505709524;Vy=148,516157983111;Vz=-0,378424249649247;cx=-0,0418048649871707;cy=-0,212961125903746;latitude=39,9435729073146;longitude=131,34728165197;
27.05.2019 11:15:31:753;Ax=4,82414733703441;Ay=4,98403479018437;Az=0,0286747455963283;rx=89,106781400557;ry=86,6512052978627;rz=87,1201024773159;Vx=151,939204432275;Vy=153,500192773296;Vz=-0,349749504052919;cx=-0,0827515037650031;cy=-0,0353805927025945;latitude=39,9449295073542;longitude=131,345911114535;
27.05.2019 11:15:31:854;Ax=4,57810510628769;Ay=4,92457425893497;Az=-0,0760953069320394;rx=89,6177044031758;ry=87,2043802736813;rz=88,100832253043;Vx=156,517309538563;Vy=158,424767032231;Vz=-0,425844810984958;cx=-0,210093064948495;cy=-0,0242955976278978;latitude=39,9463269833322;longitude=131,344496607686;
27.05.2019 11:15:31:972;Ax=4,51698595099942;Ay=4,58851018459001;Az=0,024023842426959;rx=88,6323912938276;ry=86,1041992183794;rz=88,2237873399741;Vx=161,034295489562;Vy=163,013277216821;Vz=-0,401820968557999;cx=-0,188819525420584;cy=-0,214377453277997;latitude=39,947764789542;longitude=131,343041131997;
27.05.2019 11:15:32:76;Ax=4,71259985175571;Ay=4,61373318387835;Az=0,243510822529677;rx=85,510605869354;ry=86,9301339634369;rz=87,4110122269071;Vx=165,746895341318;Vy=167,627010400699;Vz=-0,158310146028322;cx=-0,11964974554472;cy=-0,024356363597029;latitude=39,9492446725361;longitude=131,341544462261;
27.05.2019 11:15:32:197;Ax=4,76925848972483;Ay=4,52071146970648;Az=-0,00507237238579972;rx=86,8708706055166;ry=89,0107095162434;rz=87,4024995073688;Vx=170,516153831042;Vy=172,147721870405;Vz=-0,163382518414122;cx=-0,00203632837023804;cy=-0,100181148282807;latitude=39,9507671381953;longitude=131,34000742903;
27.05.2019 11:15:32:309;Ax=4,87029646214577;Ay=4,93029983897242;Az=0,0134962551591435;rx=88,1802297240031;ry=87,3050726905023;rz=86,0153000282661;Vx=175,386450293188;Vy=177,078021709378;Vz=-0,149886263254978;cx=-0,206278895519802;cy=-0,00885910388727496;latitude=39,9523330886443;longitude=131,338426375265;
27.05.2019 11:15:32:418;Ax=4,86792392650057;Ay=4,54571079627877;Az=-0,147069449022911;rx=88,2345748912704;ry=86,4035630540008;rz=86,0315114064289;Vx=180,254374219689;Vy=181,623732505657;Vz=-0,296955712277889;cx=-0,0181710868227185;cy=-0,215323065333223;latitude=39,9539425026999;longitude=131,336804734796;
27.05.2019 11:15:32:543;Ax=4,90363373556344;Ay=4,75506908621409;Az=-0,0618463628049222;rx=85,6276066429576;ry=87,1785050745488;rz=88,3343640553459;Vx=185,158007955252;Vy=186,378801591871;Vz=-0,358802075082811;cx=-0,106887290874447;cy=-0,0604033135158986;latitude=39,9555956991995;longitude=131,335140638353;
27.05.2019 11:15:32:653;Ax=4,69046258236769;Ay=4,7280299455058;Az=-0,0617357782608527;rx=87,017977046323;ry=85,8964836045152;rz=88,9272680955135;Vx=189,84847053762;Vy=191,106831537376;Vz=-0,420537853343664;cx=-0,199831073440066;cy=-0,087481297418698;latitude=39,9572907748293;longitude=131,333434327357;
27.05.2019 11:15:32:778;Ax=4,59303535874609;Ay=4,99664861638874;Az=0,227747014946186;rx=86,7315006676277;ry=85,8523210435418;rz=88,0433797675853;Vx=194,441505896366;Vy=196,103480153765;Vz=-0,192790838397477;cx=-0,0796310878031079;cy=-0,155095068123238;latitude=39,9590268597033;longitude=131,331683403427;
27.05.2019 11:15:32:887;Ax=4,57213072947791;Ay=4,51319772005696;Az=-0,116745496572342;rx=86,518736796928;ry=86,4846372681133;rz=89,3724301978352;Vx=199,013636625844;Vy=200,616677873822;Vz=-0,309536334969819;cx=-0,0695345162970682;cy=-0,130409249945266;latitude=39,9608037671732;longitude=131,329892183089;
27.05.2019 11:15:32:996;Ax=4,56109166264585;Ay=4,72342332835469;Az=-0,0013147793949182;rx=86,7150877403165;ry=85,7091167726131;rz=89,8316667896377;Vx=203,57472828849;Vy=205,340101202177;Vz=-0,310851114364738;cx=-0,184106402010237;cy=-0,200084794801704;latitude=39,9626213986758;longitude=131,328058789329;
27.05.2019 11:15:33:106;Ax=4,66782715202674;Ay=4,89772584075002;Az=-0,142659279700676;rx=89,7528031809501;ry=88,8209220326137;rz=88,8564450432809;Vx=208,242555440517;Vy=210,237827042927;Vz=-0,453510394065414;cx=-0,0286832841130362;cy=-0,00579763785041365;latitude=39,9644807072065;longitude=131,326181665873;
27.05.2019 11:15:33:217;Ax=4,9897798483678;Ay=4,79733343412975;Az=-0,0391937041604864;rx=86,4337255065021;ry=86,2317882719132;rz=88,405077595918;Vx=213,232335288884;Vy=215,035160477057;Vz=-0,4927040982259;cx=-0,00793911751031118;cy=-0,170533807375719;latitude=39,966384567343;longitude=131,324261709083;
27.05.2019 11:15:33:342;Ax=4,93202705910989;Ay=4,5328093441356;Az=0,192047786406263;rx=87,0597255940362;ry=87,135073524497;rz=86,8435173855831;Vx=218,164362347994;Vy=219,567969821192;Vz=-0,300656311819637;cx=-0,109635176921557;cy=-0,107913347826297;latitude=39,9683324634354;longitude=131,322301280781;
27.05.2019 11:15:33:451;Ax=4,88255109283261;Ay=4,97806255495085;Az=-0,142427546387737;rx=88,385673649323;ry=86,6891011100677;rz=89,2882907908821;Vx=223,046913440827;Vy=224,546032376143;Vz=-0,443083858207374;cx=-0,0979371360493531;cy=-0,174717428046144;latitude=39,970323953734;longitude=131,320296405492;
27.05.2019 11:15:33:560;Ax=4,90577395418928;Ay=4,9223798922833;Az=0,219006255487448;rx=86,7727884767916;ry=87,0773132848913;rz=88,6545750629877;Vx=227,952687395016;Vy=229,468412268426;Vz=-0,224077602719926;cx=-0,0961411697539205;cy=-0,135363423898987;latitude=39,9723592455857;longitude=131,318247580382;
27.05.2019 11:15:33:667;Ax=4,57693835141926;Ay=4,64613814309525;Az=-0,126586870931362;rx=88,3086363609455;ry=87,4751735352795;rz=87,6755841675567;Vx=232,529625746435;Vy=234,114550411522;Vz=-0,350664473651288;cx=-0,16699866354093;cy=-0,117762631605267;latitude=39,9744354029585;longitude=131,316157271896;
27.05.2019 11:15:33:780;Ax=4,74106581171093;Ay=4,62764923699556;Az=-0,047017310185832;rx=89,9138326753927;ry=85,8532367119814;rz=89,258146365759;Vx=237,270691558146;Vy=238,742199648517;Vz=-0,39768178383712;cx=-0,0568384710265519;cy=-0,216653650867123;latitude=39,976553891276;longitude=131,314025645114;
27.05.2019 11:15:33:889;Ax=4,64135956724238;Ay=4,84714815991332;Az=-0,160017406060368;rx=89,018359038056;ry=87,8882929607706;rz=86,5406606684163;Vx=241,912051125389;Vy=243,589347808431;Vz=-0,557699189897488;cx=-0,0652526933538056;cy=-0,194013607778594;latitude=39,9787138203039;longitude=131,311850740223;
27.05.2019 11:15:33:999;Ax=4,51497151423943;Ay=4,59906724705317;Az=-0,0520266756890466;rx=86,9303692413635;ry=88,684021296531;rz=88,5684291730022;Vx=246,427022639628;Vy=248,188415055484;Vz=-0,609725865586535;cx=-0,0243994716202849;cy=-0,18831657654993;latitude=39,9809140615774;longitude=131,309634772231;
27.05.2019 11:15:34:108;Ax=4,74645638803321;Ay=4,74285539507068;Az=-0,153635507637465;rx=85,8198302366397;ry=85,7327992239654;rz=89,4986601006233;Vx=251,173479027661;Vy=252,931270450554;Vz=-0,763361373224;cx=-0,206672024590276;cy=-0,161631216603162;latitude=39,9831566819259;longitude=131,307376457316;
27.05.2019 11:15:34:235;Ax=4,84917069615292;Ay=4,86926719051286;Az=-0,170435406230593;rx=85,5402579771077;ry=87,4614465825546;rz=88,1274246036203;Vx=256,022649723814;Vy=257,800537641067;Vz=-0,933796779454593;cx=-0,192379263645215;cy=-0,00530903890277301;latitude=39,9854425984413;longitude=131,305074666802;
27.05.2019 11:15:34:344;Ax=4,54868760567563;Ay=4,95045881296995;Az=-0,249938625376643;rx=88,4529798456714;ry=87,844731717531;rz=89,0588175668655;Vx=260,57133732949;Vy=262,750996454037;Vz=-1,18373540483124;cx=-0,029778071937514;cy=-0,0174107752821442;latitude=39,9877691282389;longitude=131,302728675762;
27.05.2019 11:15:34:469;Ax=4,79114412832593;Ay=4,55455447968773;Az=0,0470991925322917;rx=86,583568311801;ry=85,8938242487581;rz=89,7296574878179;Vx=265,362481457816;Vy=267,305550933725;Vz=-1,13663621229894;cx=-0,0519636964318195;cy=-0,0449418433801938;latitude=39,990138436109;longitude=131,300342019057;
27.05.2019 11:15:34:578;Ax=4,68187028504064;Ay=4,62146397103624;Az=-0,00603053521180108;rx=88,1675381563453;ry=88,3908659344962;rz=88,5434003428292;Vx=270,044351742856;Vy=271,927014904761;Vz=-1,14266674751075;cx=-0,00329361206539858;cy=-0,136321199772098;latitude=39,9925495463924;longitude=131,297914099281;
27.05.2019 11:15:34:688;Ax=4,80641932566949;Ay=4,94916307527999;Az=-0,208241914146693;rx=89,0648882461548;ry=85,8245793244916;rz=88,6546881558163;Vx=274,850771068526;Vy=276,876177980041;Vz=-1,35090866165744;cx=-0,0670859369063237;cy=-0,124634048773274;latitude=39,9950035711341;longitude=131,295441990549;
27.05.2019 11:15:34:797;Ax=4,52657672182032;Ay=4,70977118853935;Az=-0,13975768996857;rx=89,1298919798014;ry=88,567876801392;rz=86,5590307219229;Vx=279,377347790346;Vy=281,585949168581;Vz=-1,49066635162601;cx=-0,0805531624264759;cy=-0,0670355037283343;latitude=39,9974980117394;longitude=131,292927830289;
27.05.2019 11:15:34:907;Ax=4,80902888826515;Ay=4,63505510410064;Az=-0,00560743536595609;rx=89,7418089067758;ry=86,8247673678327;rz=89,2829911963935;Vx=284,186376678611;Vy=286,221004272681;Vz=-1,49627378699196;cx=-0,18132242904106;cy=-0,0543560611220784;latitude=40,0000353901026;longitude=131,290372285608;
27.05.2019 11:15:35:16;Ax=4,98474207147245;Ay=4,6794353568365;Az=0,0726028235268794;rx=86,3682708432285;ry=85,9316994205265;rz=87,9848765707504;Vx=289,171118750084;Vy=290,900439629518;Vz=-1,42367096346508;cx=-0,149852335627585;cy=-0,130260594587433;latitude=40,0026172750914;longitude=131,287774960254;
27.05.2019 11:15:35:125;Ax=4,95777795089305;Ay=4,80299737411691;Az=-0,22831045392822;rx=88,3022640400111;ry=88,6829947941857;rz=85,8395503150949;Vx=294,128896700977;Vy=295,703437003635;Vz=-1,6519814173933;cx=-0,0336397415067253;cy=-0,0267195500441417;latitude=40,0052434259548;longitude=131,285134750995;
27.05.2019 11:15:35:236;Ax=4,70363433947956;Ay=4,57406374536178;Az=-0,156180242731319;rx=88,5058835519039;ry=88,737476697535;rz=89,8308340915622;Vx=298,832531040457;Vy=300,277500748996;Vz=-1,80816166012462;cx=-0,198335683449798;cy=-0,196109907827861;latitude=40,0079115735534;longitude=131,282453701881;
27.05.2019 11:15:35:361;Ax=4,80047099865064;Ay=4,89293725085116;Az=0,237364240217658;rx=87,1753699975905;ry=86,3438672611229;rz=85,6923188519163;Vx=303,633002039107;Vy=305,170437999847;Vz=-1,57079741990697;cx=-0,202559568163736;cy=-0,0512608632684035;latitude=40,0106225825002;longitude=131,279728965828;
27.05.2019 11:15:35:471;Ax=4,85210180648235;Ay=4,66254933279126;Az=0,161356622544749;rx=88,7096611129631;ry=85,7512627440743;rz=87,7900104186451;Vx=308,485103845589;Vy=309,832987332639;Vz=-1,40944079736222;cx=-0,146219019799595;cy=-0,112284303718376;latitude=40,0133769137845;longitude=131,276962599869;
27.05.2019 11:15:35:580;Ax=4,54277637882288;Ay=4,89971029800349;Az=0,195543380195994;rx=85,8409004343398;ry=86,3638248072769;rz=85,5866727114593;Vx=313,027880224412;Vy=314,732697630642;Vz=-1,21389741716622;cx=-0,00118524343761806;cy=-0,102914516035426;latitude=40,0161718055722;longitude=131,274152486498;
27.05.2019 11:15:35:690;Ax=4,70981008522669;Ay=4,80376934250992;Az=0,0176777612733083;rx=86,1581936595767;ry=88,4386133809754;rz=87,8676678672748;Vx=317,737690309639;Vy=319,536466973152;Vz=-1,19621965589292;cx=-0,216229895998829;cy=-0,223407772415506;latitude=40,0190087492357;longitude=131,271299482328;
27.05.2019 11:15:35:799;Ax=4,62018132005827;Ay=4,75840261869989;Az=0,0460035394858584;rx=86,8952641628661;ry=88,0985984087915;rz=89,8275832898578;Vx=322,357871629697;Vy=324,294869591852;Vz=-1,15021611640706;cx=-0,172453957643576;cy=-0,0286158646939398;latitude=40,0218869445181;longitude=131,268403992421;
27.05.2019 11:15:35:924;Ax=4,75312974781409;Ay=4,63560257555712;Az=0,209260864629997;rx=87,2200507990644;ry=86,6373407121922;rz=86,1175440569024;Vx=327,111001377511;Vy=328,930472167409;Vz=-0,940955251777059;cx=-0,0392826872478622;cy=-0,0228650681664533;latitude=40,024807578459;longitude=131,265467113205;
27.05.2019 11:15:36:33;Ax=4,89899490047199;Ay=4,84334043219841;Az=0,041210682499786;rx=89,6400840155036;ry=85,8209436697983;rz=85,6923858966643;Vx=332,009996277983;Vy=333,773812599608;Vz=-0,899744569277273;cx=-0,0143011481916986;cy=-0,0941216861801806;latitude=40,0277719534258;longitude=131,262486989879;
27.05.2019 11:15:36:143;Ax=4,89557112515698;Ay=4,71606316474083;Az=0,226342136727805;rx=88,1099431785335;ry=87,7832190004565;rz=89,7906149771487;Vx=336,90556740314;Vy=338,489875764348;Vz=-0,673402432549469;cx=-0,198191532317175;cy=-0,184937580446679;latitude=40,030780038849;longitude=131,259464758845;
27.05.2019 11:15:36:254;Ax=4,64306021278867;Ay=4,90781833902365;Az=-0,0135523075068145;rx=87,9256391757753;ry=89,6259785632724;rz=85,680355441142;Vx=341,548627615929;Vy=343,397694103372;Vz=-0,686954740056283;cx=-0,0172142241579536;cy=-0,197129794022594;latitude=40,033829580167;longitude=131,256398708005;
27.05.2019 11:15:36:364;Ax=4,78294131498921;Ay=4,50913419062697;Az=0,0347480782236662;rx=89,6434016272628;ry=85,9533249297893;rz=88,2562443321833;Vx=346,331568930918;Vy=347,906828293999;Vz=-0,652206661832617;cx=-0,159781551645032;cy=-0,161462664493108;latitude=40,0369218263182;longitude=131,253292397038;
27.05.2019 11:15:36:489;Ax=4,89106420306073;Ay=4,81848902386543;Az=-0,0758622716301414;rx=89,8485494911897;ry=89,7467717247767;rz=86,0353180645198;Vx=351,222633133979;Vy=352,725317317864;Vz=-0,728068933462758;cx=-0,0144549559054212;cy=-0,180537700806994;latitude=40,0400577426854;longitude=131,250143063848;
27.05.2019 11:15:36:598;Ax=4,79018294801478;Ay=4,50516284210848;Az=0,00945822627258419;rx=86,154029926124;ry=85,5405040593075;rz=88,440977668595;Vx=356,012816081994;Vy=357,230480159973;Vz=-0,718610707190174;cx=-0,142776814716761;cy=-0,100622362341092;latitude=40,0432364285433;longitude=131,246953505989;
27.05.2019 11:15:36:723;Ax=4,57602820292862;Ay=4,87023326562263;Az=-0,20194345733707;rx=87,4669756609793;ry=88,4895148244638;rz=86,7887070792675;Vx=360,588844284922;Vy=362,100713425596;Vz=-0,920554164527244;cx=-0,00416399633007103;cy=-0,0544700668447007;latitude=40,0464559717959;longitude=131,243720463905;
27.05.2019 11:15:36:832;Ax=4,88159426366053;Ay=4,72927689143889;Az=-0,072931979933256;rx=85,7387359541556;ry=87,6296531926513;rz=85,5705754089032;Vx=365,470438548583;Vy=366,829990317034;Vz=-0,9934861444605;cx=-0,116787932669645;cy=-0,184805210288523;latitude=40,0497191007115;longitude=131,240445196134;
27.05.2019 11:15:36:942;Ax=4,57113327950758;Ay=4,8351480578236;Az=0,148929483443;rx=89,4168177856676;ry=88,2233754218199;rz=86,1876198624669;Vx=370,041571828091;Vy=371,665138374858;Vz=-0,8445566610175;cx=-0,172276166685521;cy=-0,187388807471088;latitude=40,0530230433171;longitude=131,237126757399;
27.05.2019 11:15:37:51;Ax=4,93994046325793;Ay=4,6376425831754;Az=0,229332515960248;rx=89,5795129842961;ry=87,8452314046888;rz=89,0016855907169;Vx=374,981512291349;Vy=376,302780958034;Vz=-0,615224145057252;cx=-0,199154996987971;cy=-0,0197252916846082;latitude=40,056371092534;longitude=131,23376691114;
27.05.2019 11:15:37:160;Ax=4,82641600110867;Ay=4,50835332787053;Az=0,134349755656137;rx=87,1212255391857;ry=87,8237354482169;rz=89,33739330612;Vx=379,807928292457;Vy=380,811134285904;Vz=-0,480874389401115;cx=-0,0859384057162984;cy=-0,113456462586043;latitude=40,0597622347509;longitude=131,230366811727;
27.05.2019 11:15:37:271;Ax=4,82774234904337;Ay=4,79518232135809;Az=-0,148422097972791;rx=87,6832797018268;ry=88,9417058839191;rz=89,472164927736;Vx=384,635670641501;Vy=385,606316607262;Vz=-0,629296487373906;cx=-0,0620203604395613;cy=-0,0979464438385094;latitude=40,0631964818102;longitude=131,226923898186;
27.05.2019 11:15:37:381;Ax=4,76469158137436;Ay=4,67013647135819;Az=-0,248463287716016;rx=87,0241715388951;ry=89,350612317608;rz=87,7276459199971;Vx=389,400362222875;Vy=390,27645307862;Vz=-0,877759775089921;cx=-0,0117911334320908;cy=-0,000168301805466342;latitude=40,0666732707586;longitude=131,223439286998;
